Committee_Name,Report_Year,Report_Type,Is Amendment,, 
FEAGAN FOR NC SENATE,2012,Organizational,,,
FEAGAN FOR NC SENATE,2012,Second Quarter,,,
FEAGAN FOR NC SENATE,2012,Second Quarter,X,,
FEAGAN FOR NC SENATE,2012,Third Quarter,,,
FEAGAN FOR NC SENATE,2012,Third Quarter,X,,
FEAGAN FOR NC SENATE,2013,Mid Year Semi-Annual,,,
FEAGAN FOR NC SENATE,2013,Mid Year Semi-Annual,X,,
FEAGAN FOR NC SENATE,2013,Year End Semi-Annual,,,
FEAGAN FOR NC SENATE,2013,Year End Semi-Annual,X,,
FEAGAN FOR NC SENATE,2014,Final,,,
FEDERAL EXPRESS PAC,2013,Mid Year Semi-Annual,,,
FEDERAL EXPRESS PAC,2013,Year End Semi-Annual,,,
FEDERAL EXPRESS PAC,2014,First Quarter,,,
FEDERAL EXPRESS PAC,2014,Fourth Quarter,,,
FEDERAL EXPRESS PAC,2014,Second Quarter,,,
FEDERAL EXPRESS PAC,2014,Third Quarter,,,
FEDERAL EXPRESS PAC,2015,Mid Year Semi-Annual,,,
FEDERAL EXPRESS PAC,2016,Fourth Quarter,,,
FEDERAL EXPRESS PAC,2016,Second Quarter,,,
FEDERAL EXPRESS PAC,2017,Mid Year Semi-Annual,,,
FEDERAL EXPRESS PAC,2017,Year End Semi-Annual,X,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2012,Fourth Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2012,Organizational,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2012,Second Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2012,Third Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2013,Mid Year Semi-Annual,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2013,Year End Semi-Annual,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2014,First Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2014,First Quarter,X,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2014,Fourth Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2014,Second Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2014,Third Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2015,Mid Year Semi-Annual,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2015,Year End Semi-Annual,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2016,First Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2016,Second Quarter,,,
FIDELITY NATIONAL FINANCIAL INC PAC 2001,2016,Year End Semi-Annual,,,
FIFTH THIRD BANCORP PAC,2019,Mid Year Semi-Annual,,,
FIFTH THIRD BANCORP PAC,2019,Year End Semi-Annual,,,
FIFTH THIRD BANCORP PAC,2020,Fourth Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2001,Mid Year Semi-Annual,X,,
FIRE SPRINKLER CONTRACTORS PAC,2001,Year End Semi-Annual,X,,
FIRE SPRINKLER CONTRACTORS PAC,2007,Year End Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2008,First Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2008,Fourth Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2008,Second Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2008,Third Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2009,Mid Year Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2009,Year End Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2009,Year End Semi-Annual,X,,
FIRE SPRINKLER CONTRACTORS PAC,2010,First Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2010,Fourth Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2010,Second Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2010,Third Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2011,Mid Year Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2011,Year End Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2012,First Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2012,Fourth Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2012,Second Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2012,Third Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2013,Mid Year Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2013,Year End Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2014,First Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2014,Fourth Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2014,Second Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2014,Third Quarter,,,
FIRE SPRINKLER CONTRACTORS PAC,2019,Year End Semi-Annual,,,
FIRE SPRINKLER CONTRACTORS PAC,2020,Fourth Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2012,Fourth Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2012,Organizational,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2012,Second Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2012,Third Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2013,Mid Year Semi-Annual,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2013,Mid Year Semi-Annual,X,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2013,Year End Semi-Annual,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2014,First Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2014,Fourth Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2014,Second Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2014,Third Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2015,Mid Year Semi-Annual,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2015,Year End Semi-Annual,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2016,First Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2016,Fourth Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2016,Second Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2016,Third Quarter,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2019,Mid Year Semi-Annual,,,
FIREFIGHTERS FOR RESPONSIBLE GOVERNMENT,2019,Year End Semi-Annual,,,
FIRST BAPTIST CROSSNORE,2012,Independent Expenditure Report,,,
FIRST CITIZENS BANCSHARES INC PAC,2013,Mid Year Semi-Annual,,,
"FIRST CITIZENS BANCSHARES, INC PAC",2002,Ten-day,,,
FIRST CITIZENS BANK PAC STATE,1999,Final,,,
FIRST CITIZENS BANK PAC STATE,1999,Final,X,,
FIRST CITIZENS BANK PAC STATE,2002,Ten-day,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2015,Mid Year Semi-Annual,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2015,Year End Semi-Annual,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2016,First Quarter,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2016,Fourth Quarter,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2016,Second Quarter,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2016,Third Quarter,,,
FIRSTCASH INC. MULTI-CANDIDATE PAC,2017,Mid Year Semi-Annual,,,
FIRSTCASH INC. PAC,2018,Second Quarter,X,,
FIRSTCASH INC. PAC,2019,Mid Year Semi-Annual,,,
FIRSTCASH INC. PAC,2019,Year End Semi-Annual,,,
FIRSTCASH INC. PAC,2020,Fourth Quarter,,,
FLAHERTY COMM,1999,Year End Semi-Annual,,,
FLAHERTY COMM,2002,Fourth Quarter,,,
FLAHERTY COMM,2002,Third Quarter,,,
FLAHERTY COMM,2002,Third Quarter,X,,
FLAHERTY COMM,2003,Final,,,
FLIP NC,2018,First Quarter,,,
FLIP NC,2018,Organizational,,,
FLIPPABLE,2018,Organizational,,,
FLOWERING DOGWOOD,2013,Mid Year Semi-Annual,,,
FLOWERING DOGWOOD,2013,Organizational,,,
FLOWERING DOGWOOD,2013,Year End Semi-Annual,,,
FLOWERING DOGWOOD,2014,Final,,,
FLOWERING DOGWOOD,2014,First Quarter,,,
FLOWERING DOGWOOD,2014,First Quarter,X,,
FLOWERING DOGWOOD,2014,Second Quarter,,,
FLOWERING DOGWOOD,2014,Second Quarter,X,,
FLOWERING DOGWOOD,2014,Third Quarter,,,
FLOWERING DOGWOOD,2014,Third Quarter,X,,
FMC CORP GOOD GOVT PROG,2011,Mid Year Semi-Annual,,,
FMC CORP GOOD GOVT PROG,2013,Mid Year Semi-Annual,,,
FMC CORP GOOD GOVT PROG,2013,Year End Semi-Annual,,,
FMC CORP GOOD GOVT PROG,2014,First Quarter,,,
FMC CORP GOOD GOVT PROG,2014,Fourth Quarter,,,
FMC CORP GOOD GOVT PROG,2014,Second Quarter,,,
FMC CORP GOOD GOVT PROG,2014,Third Quarter,,,
FMC CORP GOOD GOVT PROG,2015,Mid Year Semi-Annual,,,
FMC CORP GOOD GOVT PROG,2015,Year End Semi-Annual,,,
FMC CORP GOOD GOVT PROG,2016,First Quarter,,,
FMC CORP GOOD GOVT PROG,2016,Fourth Quarter,,,
FMC CORP GOOD GOVT PROG,2016,Second Quarter,,,
FMC CORP GOOD GOVT PROG,2016,Third Quarter,,,
FMC CORP GOOD GOVT PROG,2017,Mid Year Semi-Annual,,,
FMR LLC PAC (FIDELITY PAC),2010,Fourth Quarter,,,
FMR LLC PAC (FIDELITY PAC),2010,Third Quarter,,,
FMR LLC PAC (FIDELITY PAC),2010,Third Quarter,X,,
FMR LLC PAC (FIDELITY PAC),2013,Mid Year Semi-Annual,,,
FMR LLC PAC (FIDELITY PAC),2013,Year End Semi-Annual,,,
FMR LLC PAC (FIDELITY PAC),2014,First Quarter,,,
FMR LLC PAC (FIDELITY PAC),2014,Fourth Quarter,,,
FMR LLC PAC (FIDELITY PAC),2014,Second Quarter,,,
FMR LLC PAC (FIDELITY PAC),2014,Third Quarter,,,
FMR LLC PAC (FIDELITY PAC),2016,Fourth Quarter,,,
FMR LLC PAC (FIDELITY PAC),2017,Final,,,
FOLWELL COMM ,2008,Organizational,,,
FONTENOT FOR HOUSE,2018,Organizational,,,
FOOD LION INC PAC,2007,Mid Year Semi-Annual,X,,
FOOTHILLS CONSERVATIVE PAC,2013,Year End Semi-Annual,,,
FOOTHILLS CONSERVATIVE PAC,2014,Fourth Quarter,,,
FOOTHILLS YR,2012,Organizational,,,
FOOTHILLS YR,2012,Organizational,X,,
FOOTHILLS YR,2012,Second Quarter,,,
FOOTHILLS YR,2012,Third Quarter,,,
FORIEST FOR SENATE COMM,2005,Mid Year Semi-Annual,,,
FORREST D BRIDGES COMMITTEE,2018,Organizational,,,
FORREST D BRIDGES COMMITTEE,2020,Mid Year Semi-Annual,,,
FORREST D BRIDGES COMMITTEE,2020,Second Quarter,,,
FORREST D BRIDGES COMMITTEE,2020,Year End Semi-Annual,,,
FORSYTH COUNTY CONSTITUTION PATRIOTS,2019,Final,,,
FORSYTH COUNTY CONSTITUTION PATRIOTS,2019,Mid Year Semi-Annual,X,,
FORSYTH DEC,2000,Fourth Quarter,,,
FORSYTH DEC,2002,Fourth Quarter,X,,
FORSYTH DEC,2013,Mid Year Semi-Annual,,,
FORSYTH DEC,2014,Fourth Quarter,,,
FORSYTH DEM BUILDING FUND,2015,Organizational,,,
FORSYTH DEM BUILDING FUND,2015,Year End Semi-Annual,,,
FORSYTH DEM BUILDING FUND,2016,First Quarter,,,
FORSYTH DEM BUILDING FUND,2016,First Quarter,X,,
FORSYTH DEM BUILDING FUND,2016,Second Quarter,,,
FORSYTH DEM BUILDING FUND,2016,Third Quarter,,,
FORSYTH DEM BUILDING FUND,2016,Third Quarter,X,,
FORSYTH DM,2002,Interim,,,
FORSYTH DM,2003,Year End Semi-Annual,,,
FORSYTH DM,2010,First Quarter,,,
FORSYTH DM,2010,Fourth Quarter,,,
FORSYTH DM,2010,Second Quarter,,,
FORSYTH DM,2010,Third Quarter,,,
FORSYTH DM,2011,Mid Year Semi-Annual,,,
FORSYTH DM,2011,Year End Semi-Annual,,,
FORSYTH DM,2012,First Quarter,,,
FORSYTH DM,2012,Fourth Quarter,,,
FORSYTH DM,2012,Second Quarter,,,
FORSYTH DM,2012,Third Quarter,,,
FORSYTH DM,2013,Mid Year Semi-Annual,,,
FORSYTH DM,2013,Year End Semi-Annual,,,
FORSYTH DM,2014,First Quarter,,,
FORSYTH DM,2014,Fourth Quarter,,,
FORSYTH DM,2014,Second Quarter,,,
FORSYTH DM,2014,Third Quarter,,,
FORSYTH DW,2002,Interim,X,,
FORSYTH DW,2002,Third Quarter,X,,
FORSYTH DW,2003,Mid Year Semi-Annual,,,
FORSYTH DW,2003,Year End Semi-Annual,,,
FORSYTH DW,2004,First Quarter,,,
FORSYTH DW,2004,Fourth Quarter,X,,
FORSYTH DW,2004,Second Quarter,,,
FORSYTH DW,2004,Third Quarter,X,,
FORSYTH DW,2007,Mid Year Semi-Annual,X,,
FORSYTH DW,2008,Second Quarter,X,,
FORSYTH DW,2009,Year End Semi-Annual,X,,
FORSYTH DW,2010,First Quarter,X,,
FORSYTH DW,2010,Fourth Quarter,X,,
FORSYTH DW,2010,Second Quarter,X,,
FORSYTH DW,2010,Third Quarter,X,,
FORSYTH DW,2011,Year End Semi-Annual,,,
FORSYTH DW,2012,First Quarter,,,
FORSYTH DW,2012,Fourth Quarter,,,
FORSYTH DW,2012,Second Quarter,,,
FORSYTH DW,2012,Third Quarter,,,
FORSYTH DW,2012,Third Quarter,X,,
FORSYTH DW,2013,Mid Year Semi-Annual,,,
FORSYTH DW,2013,Year End Semi-Annual,,,
FORSYTH DW,2013,Year End Semi-Annual,X,,
FORSYTH DW,2014,First Quarter,,,
FORSYTH DW,2014,Fourth Quarter,,,
FORSYTH DW,2014,Second Quarter,,,
FORSYTH DW,2014,Third Quarter,,,
FORSYTH DW,2015,First Quarter,,,
FORSYTH DW,2016,Fourth Quarter,,,
FORSYTH DW,2016,Second Quarter,,,
FORSYTH DW,2016,Second Quarter,X,,
FORSYTH DW,2016,Third Quarter,,,
FORSYTH DW,2018,Third Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2011,Organizational,,,
FORSYTH HISPANIC-AMERICAN DEM,2011,Organizational,X,,
FORSYTH HISPANIC-AMERICAN DEM,2011,Year End Semi-Annual,,,
FORSYTH HISPANIC-AMERICAN DEM,2012,First Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2012,Fourth Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2012,Second Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2012,Third Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2013,Year End Semi-Annual,,,
FORSYTH HISPANIC-AMERICAN DEM,2014,First Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2014,Fourth Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2014,Second Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2014,Third Quarter,,,
FORSYTH HISPANIC-AMERICAN DEM,2015,Final,,,
FORSYTH LEADERSHIP PAC,2012,Final,,,
FORSYTH LEADERSHIP PAC,2012,Organizational,,,
FORSYTH LEADERSHIP PAC,2012,Organizational,X,,
FORSYTH LEADERSHIP PAC,2012,Second Quarter,,,
FORSYTH LEADERSHIP PAC,2012,Third Quarter,,,
FORSYTH MEN'S CLUB OF FORSYTH COUNTY,2014,First Quarter,,,
FORSYTH MEN'S CLUB OF FORSYTH COUNTY,2014,Fourth Quarter,,,
FORSYTH MEN'S CLUB OF FORSYTH COUNTY,2014,Second Quarter,,,
FORSYTH MEN'S CLUB OF FORSYTH COUNTY,2014,Third Quarter,,,
FORSYTH REC,2000,Fourth Quarter,X,,
FORSYTH REC,2001,Year End Semi-Annual,,,
FORSYTH REC,2005,Year End Semi-Annual,,,
FORSYTH REC,2010,First Quarter,X,,
FORSYTH REC,2010,Fourth Quarter,X,,
FORSYTH REC,2010,Second Quarter,X,,
FORSYTH REC,2010,Third Quarter,X,,
FORSYTH REC,2011,Mid Year Semi-Annual,,,
FORSYTH REC,2011,Mid Year Semi-Annual,X,,
FORSYTH REC,2011,Year End Semi-Annual,,,
FORSYTH REPUBLICAN BUILDING FUND,2016,Fourth Quarter,,,
FORSYTH REPUBLICAN BUILDING FUND,2016,Organizational,,,
FORSYTH REPUBLICAN BUILDING FUND,2016,Second Quarter,,,
FORSYTH REPUBLICAN BUILDING FUND,2016,Third Quarter,,,
FORSYTH REPUBLICAN BUILDING FUND,2018,First Quarter,,,
FORSYTH REPUBLICAN BUILDING FUND,2018,Fourth Quarter,,,
FORSYTH REPUBLICAN BUILDING FUND,2018,Second Quarter,,,
FORSYTH REPUBLICAN BUILDING FUND,2018,Third Quarter,,,
FORSYTH REPUBLICAN MEN,2019,Final,,,
FORSYTH REPUBLICAN MEN,2019,Mid Year Semi-Annual,,,
FORSYTH RM,2013,Mid Year Semi-Annual,,,
FORSYTH RM,2013,Year End Semi-Annual,,,
FORSYTH RM,2014,First Quarter,,,
FORSYTH RM,2014,First Quarter,X,,
FORSYTH RM,2014,Second Quarter,,,
FORSYTH RW,2008,First Quarter,,,
FORSYTH RW,2008,Fourth Quarter,,,
FORSYTH RW,2010,First Quarter,X,,
FORSYTH RW,2013,Mid Year Semi-Annual,,,
FORSYTH RW,2013,Year End Semi-Annual,,,
FORSYTH RW,2014,First Quarter,,,
FORSYTH RW,2014,Fourth Quarter,,,
FORSYTH RW,2014,Second Quarter,,,
FORSYTH RW,2014,Third Quarter,,,
FORSYTH SD,2011,Year End Semi-Annual,,,
FORSYTH SD,2011,Year End Semi-Annual,X,,
FORSYTH SD,2012,First Quarter,,,
FORSYTH SD,2012,First Quarter,X,,
FORSYTH SD,2013,Mid Year Semi-Annual,,,
FORSYTH SD,2013,Year End Semi-Annual,,,
FORSYTH SD,2014,First Quarter,,,
FORSYTH SD,2014,Fourth Quarter,,,
FORSYTH SD,2014,Second Quarter,,,
FORSYTH SD,2014,Third Quarter,,,
FORSYTH SD,2015,Year End Semi-Annual,,,
FORSYTH SD,2016,First Quarter,,,
FORSYTH SD,2016,Fourth Quarter,,,
FORSYTH SD,2016,Second Quarter,,,
FORSYTH SD,2018,First Quarter,,,
FORSYTH SD,2018,First Quarter,X,,
FORSYTH SD,2018,Fourth Quarter,,,
FORSYTH SD,2018,Fourth Quarter,X,,
FORSYTH SD,2018,Second Quarter,,,
FORSYTH SD,2018,Second Quarter,X,,
FORSYTH SD,2018,Third Quarter,,,
FORSYTH SD,2018,Third Quarter,X,,
FORSYTH SD,2019,Mid Year Semi-Annual,,,
FORSYTH SD,2019,Year End Semi-Annual,,,
FORSYTH SD,2019,Year End Semi-Annual,X,,
FORSYTH SD,2020,Fourth Quarter,,,
FORSYTH SD,2020,Second Quarter,,,
FORSYTH YD,2007,Year End Semi-Annual,,,
FORSYTH YR,2008,Fourth Quarter,,,
FORSYTH YR,2008,Third Quarter,,,
FORSYTH YR,2019,Year End Semi-Annual,,,
FORSYTH YR,2020,Second Quarter,,,
"FORWARD CHARLOTTE, INC",2017,Independent Expenditure Report,,,
FORWARD MAJORITY ACTION,2020,Fourth Quarter,,,
FOUNTAIN ODOM FOR NC SENATE,2000,First Quarter,X,,
FOUNTAIN ODOM FOR NC SENATE,2000,Fourth Quarter,X,,
FOUNTAIN ODOM FOR NC SENATE,2004,First Quarter,X,,
FOUSHEE FOR NC,2012,Organizational,,,
FOUSHEE FOR NC HOUSE,2012,Organizational,,,
FOUST FOR SUPERIOR CT JUDGE,2012,First Quarter,,,
FRANK JONES FOR JUDGE,2018,Fourth Quarter,X,,
FRANK JONES FOR JUDGE,2018,Organizational,,,
FRANK JONES FOR JUDGE,2018,Third Quarter,X,,
FRANK JONES FOR JUDGE,2019,Mid Year Semi-Annual,,,
FRANK MCGUIRT CAMPAIGN,2002,Third Quarter,X,,
FRANK MCGUIRT CAMPAIGN,2003,Final,,,
FRANK MCGUIRT CAMPAIGN,2012,First Quarter,,,
FRANK MCGUIRT CAMPAIGN,2012,Organizational,,,
FRANK MCGUIRT CAMPAIGN,2012,Second Quarter,,,
FRANK MCGUIRT CAMPAIGN,2012,Third Quarter,,,
FRANK MITCHELL COMM,2012,First Quarter,,,
FRANK MITCHELL COMM,2012,Fourth Quarter,,,
FRANK MITCHELL COMM,2012,Organizational,,,
FRANK MITCHELL COMM,2012,Second Quarter,,,
FRANK MITCHELL COMM,2012,Third Quarter,,,
FRANK MITCHELL COMM,2013,Mid Year Semi-Annual,,,
FRANK MITCHELL COMM,2013,Year End Semi-Annual,,,
FRANK MITCHELL COMM,2014,Mid Year Semi-Annual,,,
FRANK MITCHELL COMM,2014,Year End Semi-Annual,,,
FRANK MITCHELL COMM,2015,Mid Year Semi-Annual,,,
FRANK MITCHELL COMM,2015,Year End Semi-Annual,,,
FRANK MITCHELL COMM,2016,Mid Year Semi-Annual,,,
FRANK MITCHELL COMM,2016,Year End Semi-Annual,,,
FRANK MITCHELL FOR NC HOUSE,2002,Year End Semi-Annual,X,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2018,First Quarter,,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2018,Fourth Quarter,,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2018,Second Quarter,,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2018,Second Quarter,X,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2018,Third Quarter,,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2018,Third Quarter,X,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2019,Mid Year Semi-Annual,,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2019,Year End Semi-Annual,,,
FRANKLIN COUNTY SENIOR DEMOCRATS,2020,Second Quarter,,,
FRANKLIN CTY PAC,2010,Fourth Quarter,,,
FRANKLIN CTY PAC,2010,Third Quarter,,,
FRANKLIN CTY PAC,2011,Mid Year Semi-Annual,,,
FRANKLIN CTY PAC,2011,Year End Semi-Annual,,,
FRANKLIN CTY PAC,2011,Year End Semi-Annual,X,,
FRANKLIN CTY PAC,2012,First Quarter,,,
FRANKLIN CTY PAC,2012,Fourth Quarter,,,
FRANKLIN CTY PAC,2012,Second Quarter,,,
FRANKLIN CTY PAC,2012,Second Quarter,X,,
FRANKLIN CTY PAC,2012,Third Quarter,,,
FRANKLIN CTY PAC,2012,Third Quarter,X,,
FRANKLIN CTY PAC,2013,Mid Year Semi-Annual,,,
FRANKLIN CTY PAC,2013,Year End Semi-Annual,,,
FRANKLIN CTY PAC,2013,Year End Semi-Annual,X,,
FRANKLIN CTY PAC,2014,First Quarter,,,
FRANKLIN CTY PAC,2014,Fourth Quarter,,,
FRANKLIN CTY PAC,2014,Second Quarter,,,
FRANKLIN CTY PAC,2014,Third Quarter,,,
FRANKLIN CTY PAC,2014,Year End Semi-Annual,,,
FRANKLIN CTY PAC,2019,Year End Semi-Annual,,,
FRANKLIN CTY PAC,2020,Fourth Quarter,,,
FRANKLIN CTY PAC,2020,Second Quarter,,,
FRANKLIN CTY PAC,2020,Second Quarter,X,,
FRANKLIN DEC,2014,Second Quarter,X,,
FRANKLIN DEC,2018,First Quarter,,,
FRANKLIN DW,2003,Organizational,X,,
FRANKLIN DW,2004,First Quarter,,,
FRANKLIN DW,2004,Organizational,,,
FRANKLIN DW,2004,Organizational,X,,
FRANKLIN DW,2004,Second Quarter,,,
FRANKLIN DW,2006,Third Quarter,X,,
FRANKLIN DW,2007,Mid Year Semi-Annual,X,,
FRANKLIN DW,2008,Fourth Quarter,,,
FRANKLIN DW,2008,Third Quarter,,,
FRANKLIN DW,2009,Mid Year Semi-Annual,,,
FRANKLIN DW,2009,Year End Semi-Annual,,,
FRANKLIN DW,2010,First Quarter,,,
FRANKLIN DW,2010,Fourth Quarter,,,
FRANKLIN DW,2010,Second Quarter,,,
FRANKLIN DW,2010,Third Quarter,,,
FRANKLIN DW,2011,Mid Year Semi-Annual,,,
FRANKLIN DW,2011,Year End Semi-Annual,,,
FRANKLIN DW,2012,First Quarter,,,
FRANKLIN DW,2012,Fourth Quarter,,,
FRANKLIN DW,2012,Second Quarter,,,
FRANKLIN DW,2012,Second Quarter,X,,
FRANKLIN DW,2012,Third Quarter,,,
FRANKLIN DW,2014,First Quarter,,,
FRANKLIN DW,2014,Fourth Quarter,,,
FRANKLIN DW,2014,Second Quarter,,,
FRANKLIN DW,2014,Third Quarter,,,
FRANKLIN DW,2015,Mid Year Semi-Annual,,,
FRANKLIN DW,2015,Year End Semi-Annual,,,
FRANKLIN DW,2016,First Quarter,,,
FRANKLIN REC,2008,Fourth Quarter,,,
FRANKLIN REC,2008,Fourth Quarter,X,,
FRANKLIN REC,2008,Third Quarter,,,
FRANKLIN REC,2009,Mid Year Semi-Annual,,,
FRANKLIN REC,2009,Year End Semi-Annual,,,
FRANKLIN REC,2010,First Quarter,,,
FRANKLIN REC,2010,Fourth Quarter,,,
FRANKLIN REC,2010,Second Quarter,,,
FRANKLIN REC,2010,Third Quarter,,,
FRANKLIN REC,2011,Mid Year Semi-Annual,,,
FRANKLIN REC,2011,Year End Semi-Annual,,,
FRANKLIN REC,2012,First Quarter,,,
FRANKLIN REC,2012,Fourth Quarter,,,
FRANKLIN REC,2012,Second Quarter,,,
FRANKLIN REC,2012,Third Quarter,,,
FRANKLIN REC,2015,Mid Year Semi-Annual,X,,
FRANKLIN REC,2015,Year End Semi-Annual,X,,
FRANKLIN REC,2018,First Quarter,,,
FRANKLIN REC,2018,Fourth Quarter,,,
FRANKLIN REC,2018,Second Quarter,,,
FRANKLIN REC,2018,Second Quarter,X,,
FRANKLIN REC,2018,Third Quarter,,,
FRANKLIN REC,2019,Mid Year Semi-Annual,X,,
FRANKLIN YD,2013,Year End Semi-Annual,,,
FRANKLIN YD,2014,First Quarter,,,
FRANKLIN YD,2014,Second Quarter,,,
FRC ACTION PAC,2016,Organizational,,,
FRC ACTION PAC,2016,Third Quarter,X,,
FRC ACTION PAC,2017,Mid Year Semi-Annual,,,
FRC ACTION PAC,2019,Mid Year Semi-Annual,,,
FRC ACTION PAC,2019,Year End Semi-Annual,,,
FRC ACTION PAC,2020,Fourth Quarter,,,
FRC ACTION PAC,2020,Second Quarter,,,
FRED SMITH GOVERNOR 2008,2009,Final,,,
FRED WILKINS DIST CT JUDGE COMM,2010,First Quarter,,,
FRED WILKINS DIST CT JUDGE COMM,2010,Fourth Quarter,,,
FRED WILKINS DIST CT JUDGE COMM,2010,Organizational,,,
FRED WILKINS DIST CT JUDGE COMM,2010,Organizational,X,,
FRED WILKINS DIST CT JUDGE COMM,2010,Second Quarter,,,
FRED WILKINS DIST CT JUDGE COMM,2010,Third Quarter,,,
FREDERICK DOUGLASS FOUNDATION OF NC PAC,2011,Organizational,,,
FREE THE VOTE NC (FORMERLY NORTH CAROLINIANS FOR FREE AND PROPER ELECTIONS),2014,Fourth Quarter,,,
FREEMAN FOR DISTRICT ATTORNEY,2017,Special,,,
FRIEND FOR E RAY BOSWELL,2002,Organizational,,,
FRIENDS FOR DENNIS WICKER COMM,1999,Mid Year Semi-Annual,X,,
FRIENDS FOR DENNIS WICKER COMM,2000,Fourth Quarter,X,,
